"Player","Team","Position","Age","Status","1QB Rank","SF/TE Prem","1QB Pos Rk","SF/TE Pr Pos Rk","Notes","1QBAuction","2QBAuction"
"Ja'Marr Chase","CIN","WR","26.4","Veteran","1","3","WR01","WR01",,"$66","$49"
"Jaxon Smith-Njigba","SEA","WR","24.5","Veteran","2","4","WR02","WR02",,"$62","$47"
"Jahmyr Gibbs","DET","RB","24.4","Veteran","3","8","RB01","RB01","Pacheco not nearly the threat Montgomery was.","$53","$40"
"Bijan Robinson","ATL","RB","24.5","Veteran","4","9","RB02","RB02","Brian Robinson is not much different than Allgeier, but the difference in price may give a tell on deployment.","$53","$39"
"Puka Nacua","LAR","WR","25.2","Veteran","5","10","WR03","WR03","Tyson Zone right now.","$51","$38"
"Justin Jefferson","MIN","WR","27.2","Veteran","6","12","WR04","WR04","Kyler represents a massive upgrade at QB.","$49","$36"
"Amon-Ra St. Brown","DET","WR","26.8","Veteran","7","13","WR05","WR05",,"$46","$34"
"Malik Nabers","NYG","WR","23.0","Veteran","8","15","WR06","WR06","Injury was looking bleak for 2026, but practice video and reports have looked excellent so far.","$43","$32"
"Drake London","ATL","WR","25.0","Veteran","9","16","WR07","WR07",,"$43","$32"
"Ashton Jeanty","LV","RB","22.7","Veteran","10","18","RB03","RB03","Team upgrades should be great for Year 2 production.","$41","$31"
"Tetairoa McMillan","CAR","WR","23.3","Veteran","11","19","WR08","WR08",,"$41","$30"
"Jeremiyah Love","ARI","RB","21.2","Rookie","12","20","RB04","RB04","Elite talent, but a crowded backfield and no long-term QB.","$41","$30"
"CeeDee Lamb","DAL","WR","27.3","Veteran","13","22","WR09","WR09",,"$39","$29"
"Devon Achane","MIA","RB","24.8","Veteran","14","23","RB05","RB05",,"$38","$28"
"Brock Bowers","LV","TE","23.7","Veteran","15","11","TE01","TE01",,"$34","$37"
"Emeka Egbuka","TB","WR","23.8","Veteran","16","27","WR10","WR10","Should be the go-to target with Evans gone.","$33","$25"
"George Pickens","DAL","WR","25.4","Veteran","17","28","WR11","WR11","Signed his franchise tag, but curious if he winds up on the team still to start the year.","$32","$24"
"Jonathan Taylor","IND","RB","27.6","Veteran","18","29","RB06","RB06",,"$32","$24"
"Brian Thomas Jr.","JAC","WR","23.8","Veteran","19","30","WR12","WR12","Holding onto the rookie season over the 2025 weirdness.","$32","$24"
"Jameson Williams","DET","WR","25.4","Veteran","20","31","WR13","WR13",,"$31","$23"
"Trey McBride","ARI","TE","26.7","Veteran","21","14","TE02","TE02",,"$31","$33"
"Omarion Hampton","LAC","RB","23.4","Veteran","22","32","RB07","RB07","Not sure he will have a dominant touch share in this backfield.","$30","$22"
"Luther Burden","CHI","WR","22.7","Veteran","23","37","WR14","WR14",,"$25","$19"
"Carnell Tate","TEN","WR","21.6","Rookie","24","39","WR15","WR15","Put up great numbers while playing with a slew of NFL-ers. Chance to be the immediate go-to option as a rookie.","$25","$19"
"Rome Odunze","CHI","WR","24.2","Veteran","25","40","WR16","WR16","Foot injury does not seem as serious as previously thought from a long-term perspective.","$25","$19"
"James Cook","BUF","RB","26.9","Veteran","26","40","RB08","RB08",,"$25","$19"
"Nico Collins","HOU","WR","27.4","Veteran","27","43","WR17","WR17",,"$25","$19"
"Jordyn Tyson","NO","WR","22.0","Rookie","28","45","WR18","WR18","Injury history is somewhat concerning, but still remarkably young after 4 years of college play.","$25","$18"
"KC Concepcion","CLE","WR","21.9","Rookie","29","46","WR19","WR19","Electric playmaker in space. Should be the top WR fairly quickly.","$25","$18"
"Colston Loveland","CHI","TE","22.3","Veteran","30","25","TE03","TE03",,"$23","$25"
"Makai Lemon","PHI","WR","22.2","Rookie","31","48","WR20","WR20","3-year WR with a breakout. The AJB replacement, but doesn't play anything like him. Concerned about fit with Hurts.","$23","$17"
"Kenneth Walker III","KC","RB","25.8","Veteran","32","49","RB09","RB09","One of the most explosive backs in the league and will see a ton of 6 and 7 man boxes.","$23","$17"
"Breece Hall","NYJ","RB","25.2","Veteran","33","52","RB10","RB10","Offense should have more stability with Geno under center.","$21","$16"
"Christian McCaffrey","SF","RB","30.2","Veteran","34","53","RB11","RB11",,"$21","$16"
"Jadarian Price","SEA","RB","22.8","Rookie","35","54","RB12","RB12","Will have a chance to dominate the backfield early-on as a rookie.","$21","$16"
"Ladd McConkey","LAC","WR","24.7","Veteran","36","56","WR21","WR21",,"$21","$15"
"Tee Higgins","CIN","WR","27.6","Veteran","37","57","WR22","WR22",,"$20","$15"
"Zay Flowers","BAL","WR","25.9","Veteran","38","59","WR23","WR23",,"$20","$15"
"Jaylen Waddle","DEN","WR","27.7","Veteran","39","61","WR24","WR24","Great fit with the Broncos. Should be able to get back to being a YAC monster.","$20","$14"
"DeVonta Smith","PHI","WR","27.7","Veteran","40","62","WR25","WR25",,"$19","$14"
"Garrett Wilson","NYJ","WR","26.0","Veteran","41","63","WR26","WR26","Best QB of his career incoming.","$19","$14"
"Rashee Rice","KC","WR","26.3","Veteran","42","64","WR27","WR27","Career bad decision maker is someone difficult to invest in.","$19","$14"
"A.J. Brown","NE","WR","29.1","Veteran","43","65","WR28","WR28","Will be a go-to target for as long as he can play at a high level.","$19","$14"
"Chris Olave","NO","WR","26.1","Veteran","44","66","WR29","WR29","Extension will keep him in New Orleans. Now he just needs Shough to be legit.","$19","$14"
"Christian Watson","GB","WR","27.2","Veteran","45","67","WR30","WR30","Decent-sized extension should keep him making big plays in Green Bay.","$19","$14"
"Tyler Warren","IND","TE","24.2","Veteran","46","34","TE04","TE04",,"$19","$20"
"Alec Pierce","IND","WR","26.3","Veteran","47","69","WR31","WR31","Back for more long plays after averaging over 20 YPR the last two seasons.","$18","$13"
"Marvin Harrison Jr.","ARI","WR","24.0","Veteran","48","72","WR32","WR32",,"$16","$12"
"Drake Maye","NE","QB","23.9","Veteran","49","1","QB01","QB01",,"$15","$52"
"Treveyon Henderson","NE","RB","23.8","Veteran","50","74","RB13","RB13",,"$15","$11"
"Saquon Barkley","PHI","RB","29.5","Veteran","51","75","RB14","RB14",,"$15","$11"
"Josh Allen","BUF","QB","30.2","Veteran","52","2","QB02","QB02",,"$15","$51"
"Javonte Williams","DAL","RB","26.3","Veteran","53","77","RB15","RB15","Extension keeps him in position to accrue big fantasy point values in this offense.","$14","$11"
"DK Metcalf","PIT","WR","28.7","Veteran","54","79","WR33","WR33",,"$14","$10"
"Chase Brown","CIN","RB","26.4","Veteran","55","78","RB16","RB16","Perine earned a bunch of work down the stretch last season, will that continue?","$14","$10"
"Harold Fannin","CLE","TE","23.1","Veteran","56","58","TE05","TE05","No longer impeded by Njoku.","$13","$15"
"Travis Etienne","NO","RB","27.5","Veteran","57","81","RB17","RB17","Will have a chance at true bellcow workload in a rising young offense.","$13","$10"
"Cam Skattebo","NYG","RB","24.5","Veteran","58","83","RB18","RB18","Major injury to come back from, but should be a favorite of Harbaugh. Sounds like the Giants will commit to the run.","$13","$10"
"2027 1st Round Draft Pick","NFL","Pick",,"Pick","59","60","Pick01","Pick01",,"$13","$15"
"Bucky Irving","TB","RB","24.0","Veteran","60","85","RB19","RB19","Potentially a very messy committee. Injury questions.","$13","$9"
"Matthew Golden","GB","WR","23.0","Veteran","61","86","WR34","WR34","Seem to be clearing the table for more playing time for Golden.","$13","$9"
"Xavier Worthy","KC","WR","23.3","Veteran","62","87","WR35","WR35",,"$13","$9"
"DJ Moore","BUF","WR","29.3","Veteran","63","88","WR36","WR36","Clearly on the decline, but also clearly the best BUF WR.","$13","$9"
"Michael Wilson","ARI","WR","26.5","Veteran","64","89","WR37","WR37","Was the late 2025 breakout legit?","$12","$9"
"Jayden Daniels","WFT","QB","25.6","Veteran","65","5","QB03","QB03",,"$12","$44"
"Derrick Henry","BAL","RB","32.6","Veteran","66","91","RB20","RB20",,"$12","$9"
