Rank,Player,Team,Position,Age,Exp,Value,Pos Rank
1,"Josh Allen",BUF,QB,30.2,8,10256,QB1
2,"Bijan Robinson",ATL,RB,24.5,3,10018,RB1
3,"Drake Maye",NE,QB,23.9,2,9785,QB2
4,"Jaxon Smith-Njigba",SEA,WR,24.5,3,9558,WR1
5,"Jahmyr Gibbs",DET,RB,24.4,3,9336,RB2
6,"Ja'Marr Chase",CIN,WR,26.4,5,9119,WR2
7,"Puka Nacua",LAR,WR,25.2,3,8907,WR3
8,"Caleb Williams",CHI,QB,24.7,2,8700,QB3
9,"Jayden Daniels",WAS,QB,25.6,2,8498,QB4
10,"Ashton Jeanty",LV,RB,22.7,1,8301,RB3
11,"Brock Bowers",LV,TE,23.6,2,8108,TE1
12,"Justin Jefferson",MIN,WR,27.5,6,7920,WR4
13,"Amon-Ra St. Brown",DET,WR,26.8,5,7736,WR5
14,"CeeDee Lamb",DAL,WR,27.3,6,7556,WR6
15,"De'Von Achane",MIA,RB,24.8,3,7381,RB4
16,"Joe Burrow",CIN,QB,29.6,6,7209,QB5
17,"Jeremiyah Love",ARI,RB,21.2,R,7042,RB5
18,"Malik Nabers",NYG,WR,23.0,2,6878,WR7
19,"Justin Herbert",LAC,QB,28.4,6,6719,QB6
20,"Trey McBride",ARI,TE,26.7,4,6563,TE2
21,"Patrick Mahomes",KC,QB,30.9,9,6410,QB7
22,"Lamar Jackson",BAL,QB,29.6,8,6261,QB8
23,"Omarion Hampton",LAC,RB,23.4,1,6116,RB6
24,"Jaxson Dart",NYG,QB,23.2,1,5974,QB9
25,"Drake London",ATL,WR,25.0,4,5835,WR8
26,"Jalen Hurts",PHI,QB,28.0,6,5699,QB10
27,"Tetairoa McMillan",CAR,WR,23.3,1,5567,WR9
28,"Trevor Lawrence",JAX,QB,26.8,5,5438,QB11
29,"Emeka Egbuka",TB,WR,23.8,1,5312,WR10
30,"Jonathan Taylor",IND,RB,27.5,6,5188,RB7
31,"Garrett Wilson",NYJ,WR,26.0,4,5068,WR11
32,"James Cook",BUF,RB,26.9,4,4950,RB8
33,"Brock Purdy",SF,QB,26.6,4,4835,QB12
34,"George Pickens",DAL,WR,25.4,4,4723,WR12
35,"Carnell Tate",TEN,WR,21.5,R,4613,WR13
36,"Bo Nix",DEN,QB,26.4,2,4506,QB13
37,"Breece Hall",NYJ,RB,25.2,4,4401,RB9
38,"Colston Loveland",CHI,TE,22.3,1,4299,TE3
39,"Ladd McConkey",LAC,WR,24.7,2,4199,WR14
40,"Jordan Love",GB,QB,27.8,6,4102,QB14
41,"Quinshon Judkins",CLE,RB,22.8,1,4006,RB10
42,"TreVeyon Henderson",NE,RB,23.8,1,3913,RB11
43,"Nico Collins",HOU,WR,27.4,5,3822,WR15
44,"Kenneth Walker",KC,RB,25.8,4,3734,RB12
45,"Tyler Warren",IND,TE,24.2,1,3647,TE4
46,"Chris Olave",NO,WR,26.1,4,3562,WR16
47,"Fernando Mendoza",LV,QB,22.8,R,3479,QB15
48,"Marvin Harrison",ARI,WR,24.0,2,3399,WR17
49,"Rome Odunze",CHI,WR,24.2,2,3320,WR18
50,"Christian McCaffrey",SF,RB,30.2,9,3243,RB13
51,"Jordyn Tyson",NO,WR,22.0,R,3167,WR19
52,"Dak Prescott",DAL,QB,33.0,10,3094,QB16
53,"Brian Thomas",JAX,WR,23.8,2,3022,WR20
54,"Rashee Rice",KC,WR,26.3,3,2952,WR21
55,"Makai Lemon",PHI,WR,22.2,R,2883,WR22
56,"A.J. Brown",NE,WR,29.1,7,2816,WR23
57,"Jared Goff",DET,QB,31.8,10,2751,QB17
58,"Baker Mayfield",TB,QB,31.3,8,2687,QB18
59,"Saquon Barkley",PHI,RB,29.5,8,2624,RB14
60,"Tee Higgins",CIN,WR,27.5,6,2564,WR24
61,"Luther Burden III",CHI,WR,22.6,1,2504,WR25
62,"Jaylen Waddle",DEN,WR,27.7,5,2446,WR26
63,"DeVonta Smith",PHI,WR,27.7,5,2334,WR27
64,"Javonte Williams",DAL,RB,26.3,5,2279,RB15
65,"Cam Skattebo",NYG,RB,24.5,1,2226,RB16
66,"Cam Ward",TEN,QB,24.2,1,2175,QB19
67,"Zay Flowers",BAL,WR,25.9,3,2124,WR28
68,"Kyren Williams",LAR,RB,25.9,4,2075,RB17
69,"Chase Brown",CIN,RB,26.4,3,2027,RB18
70,"Bucky Irving",TB,RB,24.0,2,1980,RB19
71,"Jadarian Price",SEA,RB,22.8,R,1934,RB20
72,"Tucker Kraft",GB,TE,25.7,3,1889,TE5
73,"Kyle Pitts",ATL,TE,25.8,5,1845,TE6
74,"Josh Jacobs",GB,RB,28.5,7,1802,RB21
75,"Harold Fannin Jr.",CLE,TE,22.0,1,1760,TE7
76,"Travis Etienne",NO,RB,27.5,5,1719,RB22
77,"KC Concepcion",CLE,WR,21.9,R,1679,WR29
78,"Sam Darnold",SEA,QB,29.2,8,1640,QB20
79,"Jameson Williams",DET,WR,25.4,4,1602,WR30
80,"Sam LaPorta",DET,TE,25.6,3,1529,TE8
81,"Christian Watson",GB,WR,27.2,4,1493,WR31
82,"Kyler Murray",MIN,QB,29.0,7,1458,QB21
83,"Bhayshul Tuten",JAX,RB,23.5,1,1425,RB23
84,"C.J. Stroud",HOU,QB,24.8,3,1391,QB22
85,"Jordan Addison",MIN,WR,24.5,3,1359,WR32
86,"Alec Pierce",IND,WR,26.3,4,1328,WR33
87,"Omar Cooper",NYJ,WR,22.6,R,1297,WR34
88,"Ricky Pearsall",SF,WR,25.9,2,1267,WR35
89,"Tyler Shough",NO,QB,26.9,1,1237,QB23
90,"DJ Moore",BUF,WR,29.3,8,1208,WR36
91,"D'Andre Swift",CHI,RB,27.6,6,1180,RB24
92,"Malik Willis",MIA,QB,27.2,4,1153,QB24
93,"Daniel Jones",IND,QB,29.2,7,1126,QB25
94,"Michael Wilson",ARI,WR,26.4,3,1100,WR37
95,"Ty Simpson",LAR,QB,23.6,R,1075,QB26
96,"Derrick Henry",BAL,RB,32.6,10,1050,RB25
97,"Denzel Boston",CLE,WR,22.7,R,1025,WR38
98,"Kenyon Sadiq",NYJ,TE,21.4,R,1001,TE9
99,"Terry McLaurin",WAS,WR,30.9,7,978,WR39
100,"Bryce Young",CAR,QB,25.0,3,955,QB27
101,"Oronde Gadsden II",LAC,TE,23.1,1,933,TE10
102,"Jayden Reed",GB,WR,26.3,3,912,WR40
103,"David Montgomery",HOU,RB,29.2,7,890,RB26
104,"Eli Stowers",PHI,TE,23.3,R,870,TE11
105,"Wan'Dale Robinson",TEN,WR,25.6,4,849,WR41
106,"Jayden Higgins",HOU,WR,23.6,1,830,WR42
107,"Davante Adams",LAR,WR,33.6,12,810,WR43
108,"Matthew Stafford",LAR,QB,38.5,17,792,QB28
109,"Michael Pittman",PIT,WR,28.8,6,773,WR44
110,"Dalton Kincaid",BUF,TE,26.8,3,755,TE12
111,"DK Metcalf",PIT,WR,28.6,7,738,WR45
112,"Parker Washington",JAX,WR,24.4,3,721,WR46
113,"Kyle Monangai",CHI,RB,24.2,1,704,RB27
114,"Romeo Doubs",NE,WR,26.3,4,688,WR47
115,"RJ Harvey",DEN,RB,25.5,1,672,RB28
