QUARTERBACK,,,,,RUNNING BACK,,,,,WIDE RECEIVER,,,,,TIGHT END,,,
Rank,Player,ADP,Market Score,,Rank,Player,ADP,Market Score,,Rank,Player,ADP,Market Score,,Rank,Player,ADP,Market Score
1,Josh Allen,25,100.0,,1,Bijan Robinson,1,92.1,,1,Jaxon Smith-Njigba,6,100.0,,1,Brock Bowers,20,95.4
2,Jalen Hurts,68,73.2,,2,Jahmyr Gibbs,2,91.3,,2,Puka Nacua,4,98.1,,2,Trey McBride,19,71.9
3,Lamar Jackson,45,71.7,,3,Christian McCaffrey,5,88.6,,3,Ja'Marr Chase,3,83.0,,3,Tucker Kraft,76,63.3
4,Drake Maye,55,65.5,,4,Ashton Jeanty,10,82.3,,4,Amon-Ra St. Brown,8,76.8,,4,Tyler Warren,60,59.5
5,Jaxson Dart,86,64.4,,5,Jonathan Taylor,7,74.8,,5,Justin Jefferson,12,75.9,,5,Colston Loveland,42,56.1
6,Trevor Lawrence,90,55.7,,6,Omarion Hampton,15,74.1,,6,CeeDee Lamb,11,72.1,,6,Harold Fannin,80,51.6
7,Patrick Mahomes,101,54.2,,7,James Cook,9,73.2,,7,Nico Collins,23,70.1,,7,Travis Kelce,109,47.1
8,Jayden Daniels,64,52.7,,8,Chase Brown,17,67.6,,8,AJ Brown,27,68.8,,8,Dalton Kincaid,107,42.6
9,Caleb Williams,77,47.6,,9,De'Von Achane,13,67.5,,9,Tetairoa McMillan,35,67.6,,9,Mark Andrews,122,36.9
10,Justin Herbert,89,44.9,,10,Saquon Barkley,14,66.4,,10,Drake London,16,67.4,,10,Kyle Pitts,84,36.8
11,Brock Purdy,104,37.4,,11,Kenneth Walker,18,64.1,,11,Chris Olave,28,67.0,,11,Oronde Gadsden,123,35.1
12,Joe Burrow,57,37.2,,12,Jeremiyah Love,21,59.7,,12,Zay Flowers,39,65.6,,12,Juwan Johnson,136,34.1
13,Bo Nix,108,35.1,,13,Breece Hall,30,56.9,,13,George Pickens,24,65.2,,13,Sam LaPorta,92,34.0
14,Dak Prescott,88,33.3,,14,Kyren Williams,31,55.4,,14,DeVonta Smith,38,59.2,,14,Dallas Goedert,125,29.2
15,Tyler Shough,132,29.2,,15,Derrick Henry,22,54.0,,15,Emeka Egbuka,44,58.6,,15,Hunter Henry,140,28.6
16,Baker Mayfield,131,22.7,,16,Travis Etienne,34,50.1,,16,Malik Nabers,26,57.6,,16,Chig Okonkwo,145,27.8
17,Kyler Murray,134,21.5,,17,Javonte Williams,33,50.0,,17,Tee Higgins,36,57.3,,17,Jake Ferguson,111,27.7
18,Jared Goff,115,17.9,,18,Josh Jacobs,32,49.5,,18,Rashee Rice,29,56.0,,18,George Kittle,106,26.4
19,Cam Ward,163,17.3,,19,Bucky Irving,43,47.2,,19,Jameson Williams,51,55.9,,19,Isaiah Likely,118,26.0
20,CJ Stroud,152,17.2,,20,Cam Skattebo,46,46.6,,20,Ladd McConkey,40,53.1,,20,Brenton Strange,138,22.7
21,Malik Willis,147,16.8,,21,TreVeyon Henderson,47,42.9,,21,Garrett Wilson,37,52.2,,21,AJ Barner,168,20.5
22,Daniel Jones,177,12.4,,22,Quinshon Judkins,53,36.9,,22,Jaylen Waddle,48,49.8,,22,Kenyon Sadiq,139,19.3
23,Fernando Mendoza,170,12.3,,23,D'Andre Swift,54,36.5,,23,Luther Burden,41,48.0,,23,Dalton Schultz,162,18.1
